sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,exp_b,calc_b,abs(err),err %,avg abs error,avg % error
0,0,,0.0393,0,0.0393,196387.4721,0.0599,1340.0137,0.0393,0,0.0393,196536.8717,0.0581,1340.8898,,0,0.0393,0.0393,99.9491,0.0581,1340.8898
0,0.1,,0.1266,0.1,0.0265,26.5312,,,0.1266,0.1,0.0265,26.5349,,,,0.1,0.1266,0.0265,20.97,,
0,0.2,,0.2234,0.2,0.0234,11.7043,avg abs error so absorption 0,avg % error no absorption 0,0.2234,0.2,0.0234,11.7046,avg abs error so absorption 0,avg % error no absorption 0,,0.2,0.2234,0.0234,10.4783,avg abs error so absorption 0,avg % error no absorption 0
0,0.3,,0.3189,0.3,0.0189,6.301,0.0357,4.001580148,0.3189,0.3,0.0189,6.301,0.0357,3.999235291,,0.3,0.3189,0.0189,5.9275,0.0357,3.752109561
0,0.4,,0.4199,0.4,0.0199,4.9687,,,0.4199,0.4,0.0199,4.9687,,,,0.4,0.4199,0.0199,4.7335,,
0,0.5,,0.5154,0.5,0.0153,3.0674,,,0.5154,0.5,0.0153,3.0674,,,,0.5,0.5154,0.0153,2.9761,,
0,0.6,,0.6145,0.6,0.0145,2.4201,,,0.6145,0.6,0.0145,2.4201,,,,0.6,0.6145,0.0145,2.3629,,
0,0.7,,0.712,0.7,0.012,1.7116,,,0.712,0.7,0.012,1.7116,,,,0.7,0.712,0.012,1.6828,,
0,0.8,,0.8084,0.8,0.0084,1.0467,,,0.8084,0.8,0.0084,1.0467,,,,0.8,0.8084,0.0084,1.0358,,
0,0.9,,0.9027,0.9,0.0027,0.2961,,,0.9027,0.9,0.0027,0.2961,,,,0.9,0.9027,0.0027,0.2952,,
0,1,,1.0055,1,0.0055,0.5471,,,1.0055,1,0.0055,0.5471,,,,1,1.0055,0.0055,0.5441,,
0.1,0,,0.2411,0.1,0.1411,141.0734,,,0.2425,0.1,0.1425,142.455,,,,0.1,0.2427,0.1427,58.7962,,
0.1,0.1,,0.2318,0.2,0.0318,15.8937,,,0.2318,0.2,0.0318,15.8876,,,,0.2,0.2318,0.0318,13.7081,,
0.1,0.2,,0.3219,0.3,0.0219,7.3031,,,0.3219,0.3,0.0219,7.3039,,,,0.3,0.3219,0.0219,6.8068,,
0.1,0.3,,0.4164,0.4,0.0164,4.1031,,,0.4164,0.4,0.0164,4.1034,,,,0.4,0.4164,0.0164,3.9418,,
0.1,0.4,,0.5155,0.5,0.0155,3.0925,,,0.5155,0.5,0.0155,3.0923,,,,0.5,0.5155,0.0155,2.9994,,
0.1,0.5,,0.6113,0.6,0.0113,1.8851,,,0.6113,0.6,0.0113,1.8851,,,,0.6,0.6113,0.0113,1.8502,,
0.1,0.6,,0.7082,0.7,0.0082,1.1702,,,0.7082,0.7,0.0082,1.1702,,,,0.7,0.7082,0.0082,1.1567,,
0.1,0.7,,0.8047,0.8,0.0047,0.59,,,0.8047,0.8,0.0047,0.59,,,,0.8,0.8047,0.0047,0.5866,,
0.1,0.8,,0.9024,0.9,0.0023,0.2594,,,0.9024,0.9,0.0023,0.2594,,,,0.9,0.9024,0.0023,0.2587,,
0.1,0.9,,0.9969,1,0.0031,0.3141,,,0.9969,1,0.0031,0.3141,,,,1,0.9969,0.0031,0.3151,,
0.1,1,,1.0973,1.1,0.0027,0.2448,,,1.0973,1.1,0.0027,0.2448,,,,1.1,1.0973,0.0027,0.2454,,
0.2,0,,0.0797,0.2,0.1203,60.1417,,,0.0638,0.2,0.1362,68.0945,,,,0.2,0.061,0.139,227.8283,,
0.2,0.1,,0.3316,0.3,0.0316,10.5177,,,0.3315,0.3,0.0315,10.5077,,,,0.3,0.3316,0.0315,9.5106,,
0.2,0.2,,0.4229,0.4,0.0229,5.7244,,,0.4229,0.4,0.0229,5.7204,,,,0.4,0.4229,0.0229,5.4102,,
0.2,0.3,,0.5151,0.5,0.0151,3.0176,,,0.5151,0.5,0.0151,3.019,,,,0.5,0.5151,0.0151,2.9312,,
0.2,0.4,,0.6105,0.6,0.0104,1.7414,,,0.6105,0.6,0.0104,1.7413,,,,0.6,0.6105,0.0104,1.7114,,
0.2,0.5,,0.706,0.7,0.006,0.8522,,,0.706,0.7,0.006,0.8522,,,,0.7,0.706,0.006,0.845,,
0.2,0.6,,0.8013,0.8,0.0012,0.1544,,,0.8013,0.8,0.0012,0.1546,,,,0.8,0.8013,0.0012,0.1544,,
0.2,0.7,,0.8963,0.9,0.0037,0.4164,,,0.8963,0.9,0.0037,0.4164,,,,0.9,0.8963,0.0037,0.4181,,
0.2,0.8,,0.9957,1,0.0043,0.4316,,,0.9957,1,0.0043,0.4316,,,,1,0.9957,0.0043,0.4335,,
0.2,0.9,,1.0939,1.1,0.0061,0.5521,,,1.0939,1.1,0.0061,0.5521,,,,1.1,1.0939,0.0061,0.5552,,
0.2,1,,1.1869,1.2,0.0131,1.0943,,,1.1869,1.2,0.0131,1.0943,,,,1.2,1.1869,0.0131,1.1064,,
0.3,0,,0.3703,0.3,0.0703,23.4198,,,0.3735,0.3,0.0735,24.4926,,,,0.3,0.3741,0.0741,19.8057,,
0.3,0.1,,0.4321,0.4,0.032,8.0077,,,0.4321,0.4,0.0321,8.0139,,,,0.4,0.4321,0.0321,7.4202,,
0.3,0.2,,0.5141,0.5,0.0141,2.8194,,,0.5141,0.5,0.0141,2.8223,,,,0.5,0.5141,0.0141,2.7448,,
0.3,0.3,,0.6092,0.6,0.0092,1.5321,,,0.6092,0.6,0.0092,1.5305,,,,0.6,0.6092,0.0092,1.5074,,
0.3,0.4,,0.7033,0.7,0.0033,0.475,,,0.7033,0.7,0.0033,0.4748,,,,0.7,0.7033,0.0033,0.4725,,
