sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,calc_b,exp_b,abs(err),err %,avg abs error,avg % error
0,0,,0.039297494,2.00E-05,0.0393,196387.4721,0.0599,1340.0137,0.039327374,2.00E-05,0.0393,196536.8717,0.058137791,1340.889761,,0.039329507,2.00E-05,3.93E-02,1.97E+05,0.058062661,1341.089244
0,0.1,,0.126556543,0.10002,0.0265,26.5312,,,0.126560219,0.10002,0.0265,26.5349,,,,0.126559474,0.10002,2.65E-02,2.65E+01,,
0,0.2,,0.223430966,0.20002,0.0234,11.7043,avg abs error so absorption 0,avg % error no absorption 0,0.223431463,0.20002,0.0234,11.7046,avg abs error so absorption 0,avg % error no absorption 0,,0.223431836,0.20002,2.34E-02,1.17E+01,avg abs error so absorption 0,avg % error no absorption 0
0,0.3,,0.318924288,0.30002,0.0189,6.301,0.035722975,4.001579752,0.318924288,0.30002,0.0189,6.301,0.035703388,3.999235702,,0.318924288,0.30002,1.89E-02,6.30E+00,0.035699223,3.998847829
0,0.4,,0.419895897,0.40002,0.0199,4.9687,,,0.419895897,0.40002,0.0199,4.9687,,,,0.419895897,0.40002,1.99E-02,4.97E+00,,
0,0.5,,0.515357604,0.50002,0.0153,3.0674,,,0.515357604,0.50002,0.0153,3.0674,,,,0.515357604,0.50002,1.53E-02,3.07E+00,,
0,0.6,,0.614541272,0.60002,0.0145,2.4201,,,0.614541272,0.60002,0.0145,2.4201,,,,0.614541272,0.60002,1.45E-02,2.42E+00,,
0,0.7,,0.712001274,0.70002,0.012,1.7116,,,0.712001274,0.70002,0.012,1.7116,,,,0.712001274,0.70002,1.20E-02,1.71E+00,,
0,0.8,,0.808393459,0.80002,0.0084,1.0467,,,0.808393459,0.80002,0.0084,1.0467,,,,0.808393459,0.80002,8.37E-03,1.05E+00,,
0,0.9,,0.902685126,0.90002,0.0027,0.2961,,,0.902685126,0.90002,0.0027,0.2961,,,,0.902685126,0.90002,2.67E-03,2.96E-01,,
0,1,,1.00549072,1.00002,0.0055,0.5471,,,1.00549072,1.00002,0.0055,0.5471,,,,1.00549072,1.00002,5.47E-03,5.47E-01,,
0.1,0,,0.24112165,0.10002,0.1411,141.0734,,,0.242503459,0.10002,0.1425,142.455,,,,0.242744635,0.10002,1.43E-01,1.43E+02,,
0.1,0.1,,0.231810585,0.20002,0.0318,15.8937,,,0.231798316,0.20002,0.0318,15.8876,,,,0.231794665,0.20002,3.18E-02,1.59E+01,,
0.1,0.2,,0.321930846,0.30002,0.0219,7.3031,,,0.321933106,0.30002,0.0219,7.3039,,,,0.321933428,0.30002,2.19E-02,7.30E+00,,
0.1,0.3,,0.416433314,0.40002,0.0164,4.1031,,,0.416434556,0.40002,0.0164,4.1034,,,,0.416434854,0.40002,1.64E-02,4.10E+00,,
0.1,0.4,,0.515483171,0.50002,0.0155,3.0925,,,0.515481979,0.50002,0.0155,3.0923,,,,0.515481383,0.50002,1.55E-02,3.09E+00,,
